REPORT_DATE,NEIGHBOURHOOD_158,INJURIES,DEATH
2023-05-07,Humber Summit (21),2,0
2012-03-22,Regent Park (72),2,0
2016-01-22,West Humber-Clairville (1),1,0
2012-10-11,Humber Summit (21),1,0
2014-12-08,West Humber-Clairville (1),2,0
2018-08-18,Black Creek (24),1,0
2004-06-14,York University Heights (27),0,0
2004-08-04,Englemount-Lawrence (32),0,0
2007-08-06,Humber Summit (21),1,0
2011-03-13,Regent Park (72),0,0
2021-01-06,Malvern East (146),0,0
2005-08-10,Englemount-Lawrence (32),1,1
2008-05-17,Malvern East (146),1,0
2015-08-07,Glenfield-Jane Heights (25),2,0
2017-03-10,Yorkdale-Glen Park (31),1,1
2014-10-11,Malvern East (146),1,0
2015-03-12,West Humber-Clairville (1),2,0
2011-12-16,York University Heights (27),2,0
2015-08-19,Malvern East (146),1,0
2004-10-20,Malvern East (146),4,0
2004-10-03,York University Heights (27),0,0
2019-04-14,Yorkdale-Glen Park (31),3,0
2004-02-10,Yorkdale-Glen Park (31),1,0
2021-12-31,Yorkdale-Glen Park (31),0,0
2021-01-24,Yorkdale-Glen Park (31),2,0
2004-11-11,Glenfield-Jane Heights (25),1,0
2022-04-07,West Humber-Clairville (1),1,0
2023-12-10,Englemount-Lawrence (32),0,0
2011-09-22,Regent Park (72),1,0
2011-08-26,Englemount-Lawrence (32),2,0
2010-11-08,Yorkdale-Glen Park (31),1,0
2022-06-16,Humber Summit (21),1,0
2014-09-30,York University Heights (27),1,0
2023-09-24,Black Creek (24),1,0
2007-03-28,Glenfield-Jane Heights (25),1,0
2006-01-21,Glenfield-Jane Heights (25),0,0
2012-12-24,Black Creek (24),1,0
2005-01-08,York University Heights (27),2,0
2009-01-15,Malvern East (146),0,0
2020-10-11,Regent Park (72),1,0
2009-09-12,Mount Olive-Silverstone-Jamestown (2),2,0
2016-08-16,Englemount-Lawrence (32),0,0
2015-04-01,Englemount-Lawrence (32),1,0
2009-10-17,Glenfield-Jane Heights (25),1,0
2020-10-16,Black Creek (24),2,0
2020-06-19,Englemount-Lawrence (32),1,0
2006-01-24,Humber Summit (21),3,0
2021-12-09,West Humber-Clairville (1),3,1
2018-11-10,Regent Park (72),1,0
2018-04-05,Malvern East (146),0,0
2023-05-12,Black Creek (24),0,0
2006-10-02,Englemount-Lawrence (32),4,0
2011-01-28,West Humber-Clairville (1),1,0
2023-07-06,Mount Olive-Silverstone-Jamestown (2),0,0
2010-05-27,Yorkdale-Glen Park (31),0,0
2007-12-18,Regent Park (72),1,0
2014-10-26,York University Heights (27),0,0
2013-03-11,Glenfield-Jane Heights (25),0,0
2014-11-23,West Humber-Clairville (1),0,0
2017-01-18,Mount Olive-Silverstone-Jamestown (2),0,0
2021-02-24,Englemount-Lawrence (32),0,0
2007-02-07,York University Heights (27),2,0
2012-11-03,Regent Park (72),2,0
2018-03-11,Black Creek (24),1,1
2019-05-04,West Humber-Clairville (1),0,0
2009-04-17,Englemount-Lawrence (32),1,0
2008-02-09,Glenfield-Jane Heights (25),2,0
2016-07-11,Englemount-Lawrence (32),0,0
2014-05-10,Black Creek (24),1,0
2021-01-01,Humber Summit (21),0,0
2023-08-06,Yorkdale-Glen Park (31),1,0
2009-03-28,Humber Summit (21),0,0
2020-05-02,Regent Park (72),2,0
2007-01-13,Englemount-Lawrence (32),1,0
2015-08-31,Black Creek (24),3,0
2006-12-10,Humber Summit (21),1,0
2012-08-11,York University Heights (27),1,0
2007-10-17,Englemount-Lawrence (32),2,0
2010-04-02,Yorkdale-Glen Park (31),0,0
2016-11-18,Malvern East (146),1,0
2010-07-05,Black Creek (24),1,0
2022-10-22,Glenfield-Jane Heights (25),1,0
2015-07-24,Yorkdale-Glen Park (31),1,0
2015-01-26,Glenfield-Jane Heights (25),1,0
2010-03-09,Englemount-Lawrence (32),1,0
2005-11-16,Regent Park (72),1,0
2014-07-23,Mount Olive-Silverstone-Jamestown (2),2,0
2020-08-21,Mount Olive-Silverstone-Jamestown (2),3,0
2023-01-18,West Humber-Clairville (1),3,0
2017-10-05,Glenfield-Jane Heights (25),0,0
2023-03-23,Glenfield-Jane Heights (25),1,0
2021-06-26,Humber Summit (21),1,0
2006-04-26,Regent Park (72),0,0
2023-12-07,Mount Olive-Silverstone-Jamestown (2),1,0
2006-09-09,Mount Olive-Silverstone-Jamestown (2),3,0
2016-11-27,Yorkdale-Glen Park (31),0,0
2020-06-27,Glenfield-Jane Heights (25),1,0
2016-07-08,Malvern East (146),0,0
2020-09-07,York University Heights (27),0,0
2004-05-30,Black Creek (24),1,1
2022-08-23,Glenfield-Jane Heights (25),0,0
2008-06-25,Humber Summit (21),1,0
2022-12-02,Yorkdale-Glen Park (31),1,0
2010-01-16,Black Creek (24),2,0
2021-03-30,Glenfield-Jane Heights (25),0,0
2010-10-09,Yorkdale-Glen Park (31),0,0
2006-10-25,Black Creek (24),1,0
2004-11-21,Mount Olive-Silverstone-Jamestown (2),3,0
2014-07-22,Black Creek (24),0,0
2011-10-07,Glenfield-Jane Heights (25),0,0
2009-05-09,Malvern East (146),1,0
2018-09-01,Yorkdale-Glen Park (31),0,0
2020-02-09,Malvern East (146),4,0
2015-03-16,Englemount-Lawrence (32),0,0
2018-12-11,Englemount-Lawrence (32),1,1
2006-09-11,Glenfield-Jane Heights (25),2,1
2020-12-04,West Humber-Clairville (1),0,0
2023-01-26,Regent Park (72),1,0
2006-09-12,West Humber-Clairville (1),1,0
2015-08-03,Yorkdale-Glen Park (31),1,0
2010-11-07,Regent Park (72),3,0
2008-10-27,Glenfield-Jane Heights (25),1,0
2008-05-02,Regent Park (72),0,1
2016-10-28,Glenfield-Jane Heights (25),3,0
2023-11-07,Humber Summit (21),0,0
2015-03-07,Mount Olive-Silverstone-Jamestown (2),2,0
2020-06-03,Glenfield-Jane Heights (25),0,0
2009-09-17,West Humber-Clairville (1),0,0
2010-02-21,Glenfield-Jane Heights (25),0,0
2008-11-27,Glenfield-Jane Heights (25),0,0
2017-01-27,Black Creek (24),0,1
2019-09-04,Black Creek (24),2,0
2022-03-10,York University Heights (27),1,0
2006-09-11,Humber Summit (21),1,0
2008-12-12,Yorkdale-Glen Park (31),3,0
2004-12-09,Yorkdale-Glen Park (31),0,0
2010-11-11,Black Creek (24),2,0
2012-03-10,Glenfield-Jane Heights (25),1,0
2012-06-18,Mount Olive-Silverstone-Jamestown (2),0,0
2023-03-17,Black Creek (24),0,1
2004-07-13,Glenfield-Jane Heights (25),1,0
2020-05-16,Malvern East (146),0,0
2012-11-09,Regent Park (72),1,0
2012-07-20,Glenfield-Jane Heights (25),1,0
2017-08-11,West Humber-Clairville (1),0,0
2022-04-13,West Humber-Clairville (1),1,0
2010-02-02,Black Creek (24),1,0
2016-09-23,Humber Summit (21),0,1
2011-11-14,Yorkdale-Glen Park (31),0,0
2009-11-01,Englemount-Lawrence (32),2,0
2019-06-13,Mount Olive-Silverstone-Jamestown (2),1,0
2022-07-21,Black Creek (24),2,0
2015-01-05,Black Creek (24),2,0
2013-06-25,Englemount-Lawrence (32),0,0
2007-08-18,Malvern East (146),1,0
2022-06-15,Black Creek (24),1,0
2014-10-23,Yorkdale-Glen Park (31),1,0
2017-02-22,Yorkdale-Glen Park (31),2,0
2011-04-20,York University Heights (27),3,0
2013-08-02,Glenfield-Jane Heights (25),2,0
2011-07-20,Black Creek (24),3,0
2014-06-29,Englemount-Lawrence (32),0,0
2005-12-12,West Humber-Clairville (1),0,0
2007-12-22,York University Heights (27),0,0
2017-01-19,Black Creek (24),2,0
2018-09-13,York University Heights (27),1,0
2009-01-01,Humber Summit (21),1,0
2013-08-01,Mount Olive-Silverstone-Jamestown (2),0,0
2012-05-26,Glenfield-Jane Heights (25),0,0
2010-09-11,Regent Park (72),0,0
2012-05-18,Black Creek (24),4,0
2005-06-11,Regent Park (72),2,1
2015-02-06,Glenfield-Jane Heights (25),1,0
2021-11-11,Humber Summit (21),0,0
2008-04-17,Glenfield-Jane Heights (25),0,0
2020-12-05,Malvern East (146),0,0
2020-07-30,Mount Olive-Silverstone-Jamestown (2),1,0
2022-04-01,Englemount-Lawrence (32),1,0
2005-04-17,Malvern East (146),2,0
2021-05-14,Malvern East (146),1,0
2020-09-10,Humber Summit (21),1,0
2007-02-22,York University Heights (27),0,0
2009-07-29,York University Heights (27),1,0
2010-05-01,Englemount-Lawrence (32),1,0
2011-09-23,Glenfield-Jane Heights (25),2,0
2009-04-10,Yorkdale-Glen Park (31),0,0
2021-04-30,Humber Summit (21),1,1
2013-02-05,Englemount-Lawrence (32),1,0
2005-04-02,Mount Olive-Silverstone-Jamestown (2),1,0
2012-10-28,Malvern East (146),1,1
2017-06-27,Englemount-Lawrence (32),1,0
2006-12-13,Englemount-Lawrence (32),2,1
2017-09-23,Glenfield-Jane Heights (25),0,1
2019-06-28,Black Creek (24),1,0
2021-06-18,York University Heights (27),0,0
2007-08-05,Malvern East (146),1,0
2004-07-03,Humber Summit (21),2,0
2005-02-16,Malvern East (146),3,1
2016-12-05,Englemount-Lawrence (32),1,0
2011-01-13,Humber Summit (21),1,0
2007-08-25,Mount Olive-Silverstone-Jamestown (2),3,0
2023-10-09,Mount Olive-Silverstone-Jamestown (2),1,0
2021-05-19,Mount Olive-Silverstone-Jamestown (2),3,0
2020-05-30,York University Heights (27),1,1
2017-05-06,York University Heights (27),0,0
2008-04-09,York University Heights (27),1,0
2005-07-17,West Humber-Clairville (1),1,0
2006-03-04,Mount Olive-Silverstone-Jamestown (2),2,0
2007-11-15,Englemount-Lawrence (32),3,0
2021-12-09,Black Creek (24),1,0
2014-05-26,Malvern East (146),1,1
2007-10-01,Yorkdale-Glen Park (31),1,0
2015-08-26,Humber Summit (21),1,0
2022-02-06,York University Heights (27),3,0
2013-10-20,Malvern East (146),1,0
2012-02-15,Humber Summit (21),0,0
2012-07-25,Englemount-Lawrence (32),2,1
2022-01-26,Humber Summit (21),2,0
2016-11-25,Yorkdale-Glen Park (31),1,0
2004-12-22,Regent Park (72),0,0
2004-10-05,West Humber-Clairville (1),1,0
2015-12-14,Black Creek (24),3,0
2023-03-23,Humber Summit (21),1,0
2022-08-03,Malvern East (146),0,0
2021-10-08,Humber Summit (21),1,0
2012-10-05,Malvern East (146),0,0
2010-03-15,Humber Summit (21),1,0
2005-09-09,Mount Olive-Silverstone-Jamestown (2),2,0
2009-03-19,Humber Summit (21),0,0
2022-09-24,Yorkdale-Glen Park (31),2,0
2004-12-02,Humber Summit (21),0,0
2023-01-01,York University Heights (27),1,0
2009-09-04,Black Creek (24),1,1
2005-06-22,Regent Park (72),1,0
2017-11-24,Mount Olive-Silverstone-Jamestown (2),1,0
2006-08-13,Yorkdale-Glen Park (31),1,0
2020-02-02,Malvern East (146),1,0
2019-11-03,Yorkdale-Glen Park (31),3,0
2013-12-03,Malvern East (146),2,0
2022-10-20,Regent Park (72),0,0
2013-06-23,Yorkdale-Glen Park (31),1,0
2019-05-19,West Humber-Clairville (1),0,0
2022-08-28,Malvern East (146),1,0
2023-03-06,West Humber-Clairville (1),0,0
2022-08-14,Humber Summit (21),0,0
2012-03-26,Black Creek (24),2,0
2007-12-15,Mount Olive-Silverstone-Jamestown (2),3,0
2018-03-04,Malvern East (146),1,0
2022-08-17,Mount Olive-Silverstone-Jamestown (2),1,1
2010-01-19,West Humber-Clairville (1),1,0
2010-04-04,Black Creek (24),1,0
2019-11-10,Glenfield-Jane Heights (25),3,0
2011-03-10,Black Creek (24),2,0
2010-07-05,Mount Olive-Silverstone-Jamestown (2),0,1
2019-01-30,Humber Summit (21),1,0
2015-07-14,West Humber-Clairville (1),3,1
2016-12-26,Black Creek (24),1,1
2006-12-14,York University Heights (27),0,1
2007-05-25,Regent Park (72),0,0
2022-06-15,West Humber-Clairville (1),2,1
2011-02-17,Regent Park (72),2,0
2008-09-01,Mount Olive-Silverstone-Jamestown (2),1,0
2021-12-15,York University Heights (27),0,0
2023-12-28,Glenfield-Jane Heights (25),0,0
2023-06-10,Malvern East (146),0,0
2006-05-22,Mount Olive-Silverstone-Jamestown (2),1,0
2022-09-14,Humber Summit (21),2,0
2006-01-26,Regent Park (72),2,0
2020-08-04,Black Creek (24),2,0
2006-09-14,Glenfield-Jane Heights (25),3,0
2010-10-30,Glenfield-Jane Heights (25),1,0
2023-11-28,York University Heights (27),0,0
2011-11-08,York University Heights (27),0,1
2011-11-18,Malvern East (146),6,0
2017-02-27,Black Creek (24),1,0
2019-04-19,Yorkdale-Glen Park (31),4,1
2007-05-18,Glenfield-Jane Heights (25),1,0
2016-03-02,York University Heights (27),0,0
2007-11-25,York University Heights (27),2,1
2014-06-05,Black Creek (24),1,0
2010-02-02,York University Heights (27),2,0
2016-04-08,Glenfield-Jane Heights (25),0,0
2007-03-10,Malvern East (146),3,0
2009-09-02,Glenfield-Jane Heights (25),1,0
2023-05-29,Mount Olive-Silverstone-Jamestown (2),0,0
2012-05-28,Malvern East (146),2,0
2020-08-26,Regent Park (72),0,0
2018-05-16,Malvern East (146),1,0
2010-01-21,Englemount-Lawrence (32),1,0
2019-12-10,Glenfield-Jane Heights (25),1,0
2008-05-30,Yorkdale-Glen Park (31),1,0
2019-01-18,Glenfield-Jane Heights (25),3,0
2014-07-19,York University Heights (27),0,0
2021-04-14,Mount Olive-Silverstone-Jamestown (2),0,0
2019-03-27,Black Creek (24),0,0
2005-12-10,Englemount-Lawrence (32),0,0
2007-06-11,Yorkdale-Glen Park (31),2,0
2010-10-05,Malvern East (146),1,1
2010-12-30,Black Creek (24),0,0
2014-10-26,York University Heights (27),0,0
2009-10-12,Humber Summit (21),0,0
2021-01-14,Mount Olive-Silverstone-Jamestown (2),2,0
2019-05-04,Glenfield-Jane Heights (25),0,0
2022-04-27,Humber Summit (21),0,0
2012-04-22,Malvern East (146),1,0
2022-02-13,Humber Summit (21),0,0
2010-05-27,York University Heights (27),2,0
2022-11-30,York University Heights (27),2,0
2007-09-08,Black Creek (24),2,0
2022-02-17,Black Creek (24),2,0
2023-12-05,Regent Park (72),2,0
2006-03-01,Mount Olive-Silverstone-Jamestown (2),1,0
2009-06-09,Humber Summit (21),1,0
2017-09-09,Regent Park (72),1,0
2007-09-02,West Humber-Clairville (1),1,1
2017-06-03,Malvern East (146),0,0
2018-08-16,Regent Park (72),1,0
2018-10-20,Humber Summit (21),0,0
2020-01-10,Glenfield-Jane Heights (25),2,0
2014-01-04,Glenfield-Jane Heights (25),4,0
2016-01-05,West Humber-Clairville (1),0,0
2018-08-20,Yorkdale-Glen Park (31),1,0
2020-03-06,Yorkdale-Glen Park (31),1,0
2008-09-03,Mount Olive-Silverstone-Jamestown (2),2,1
2016-01-10,Glenfield-Jane Heights (25),2,0
2017-07-26,Yorkdale-Glen Park (31),1,0
2016-11-13,Mount Olive-Silverstone-Jamestown (2),3,1
2022-07-25,West Humber-Clairville (1),1,0
2009-01-08,West Humber-Clairville (1),0,1
2012-07-07,Mount Olive-Silverstone-Jamestown (2),1,0
2007-06-14,Black Creek (24),3,0
2021-04-09,Regent Park (72),2,0
2016-11-27,Malvern East (146),0,0
2006-11-22,West Humber-Clairville (1),0,0
2004-03-23,Regent Park (72),0,0
2013-06-29,Malvern East (146),0,0
2006-05-15,Englemount-Lawrence (32),3,0
2010-05-13,Regent Park (72),2,0
2018-01-05,Mount Olive-Silverstone-Jamestown (2),1,0
2015-06-03,Black Creek (24),1,0
2018-04-10,Black Creek (24),0,1
2023-09-15,Yorkdale-Glen Park (31),3,0
2023-05-30,Humber Summit (21),0,0
2021-11-04,Regent Park (72),1,0
2010-06-28,Regent Park (72),1,0
2009-12-02,Black Creek (24),3,1
2019-01-18,Regent Park (72),1,0
2023-02-23,York University Heights (27),1,0
2011-04-09,Glenfield-Jane Heights (25),0,0
2018-12-30,Humber Summit (21),0,0
2005-11-12,Black Creek (24),2,0
2007-12-18,Mount Olive-Silverstone-Jamestown (2),2,0
2023-05-22,Mount Olive-Silverstone-Jamestown (2),2,1
2012-09-02,Humber Summit (21),0,0
2008-04-10,Black Creek (24),0,0
2021-11-27,Glenfield-Jane Heights (25),3,0
2014-06-10,Humber Summit (21),1,0
2006-09-15,Mount Olive-Silverstone-Jamestown (2),1,0
2015-02-03,Black Creek (24),0,0
2009-05-14,Malvern East (146),0,0
2021-11-22,Malvern East (146),0,0
2014-12-20,Englemount-Lawrence (32),0,0
2019-12-21,Humber Summit (21),1,0
2011-03-25,Malvern East (146),0,0
2019-03-29,Yorkdale-Glen Park (31),0,0
2007-09-23,Yorkdale-Glen Park (31),0,0
2022-11-09,Regent Park (72),0,0
2015-11-17,Yorkdale-Glen Park (31),1,0
2009-11-23,Mount Olive-Silverstone-Jamestown (2),0,0
2014-11-02,West Humber-Clairville (1),2,0
2020-11-06,Humber Summit (21),3,0
2016-12-03,Glenfield-Jane Heights (25),0,0
2013-05-28,Regent Park (72),3,0
2005-01-20,Englemount-Lawrence (32),0,0
2010-09-16,Regent Park (72),2,0
2016-06-22,Mount Olive-Silverstone-Jamestown (2),0,0
2004-05-20,Humber Summit (21),0,0
2004-01-31,Black Creek (24),0,0
2020-07-20,York University Heights (27),0,0
2018-05-01,Black Creek (24),2,0
2020-03-06,Glenfield-Jane Heights (25),0,0
2015-06-21,Black Creek (24),1,0
2014-05-13,Malvern East (146),0,0
2015-04-04,Malvern East (146),0,1
2014-05-08,Regent Park (72),1,0
2004-06-26,Malvern East (146),0,0
2013-07-20,West Humber-Clairville (1),0,0
2013-09-05,Yorkdale-Glen Park (31),2,1
2019-02-22,Mount Olive-Silverstone-Jamestown (2),0,1
2021-04-21,West Humber-Clairville (1),1,0
2016-08-24,West Humber-Clairville (1),0,0
2019-03-19,Black Creek (24),1,0
2017-09-28,Black Creek (24),3,0
2019-08-07,West Humber-Clairville (1),1,0
2004-07-22,West Humber-Clairville (1),2,0
2012-11-20,Regent Park (72),1,0
2015-01-01,Black Creek (24),1,0
2010-08-17,Mount Olive-Silverstone-Jamestown (2),2,0
2022-08-03,Regent Park (72),1,0
2010-08-28,Black Creek (24),2,0
2018-05-08,York University Heights (27),1,0
2013-07-06,Yorkdale-Glen Park (31),0,0
2010-06-20,Englemount-Lawrence (32),1,0
2004-09-15,Regent Park (72),0,0
2016-07-25,Malvern East (146),1,0
2020-05-20,Englemount-Lawrence (32),1,0
2020-02-05,Regent Park (72),0,0
2018-10-22,Regent Park (72),1,0
2023-10-03,York University Heights (27),0,0
2007-09-16,West Humber-Clairville (1),0,0
2023-11-24,York University Heights (27),0,0
2012-05-21,Glenfield-Jane Heights (25),0,0
2018-04-24,Malvern East (146),0,0
2007-08-17,Glenfield-Jane Heights (25),2,0
2015-03-29,Regent Park (72),1,0
2015-09-05,Regent Park (72),1,0
2013-03-05,Black Creek (24),1,0
2015-02-22,Glenfield-Jane Heights (25),0,0
2010-09-15,Glenfield-Jane Heights (25),2,0
2007-05-17,Humber Summit (21),1,0
2013-09-09,Humber Summit (21),2,0
2009-01-24,Glenfield-Jane Heights (25),1,0
2008-07-30,Black Creek (24),1,0
2013-06-28,Glenfield-Jane Heights (25),2,0
2015-07-05,York University Heights (27),1,0
2015-03-27,Mount Olive-Silverstone-Jamestown (2),4,0
2016-12-04,York University Heights (27),0,0
2015-12-05,Englemount-Lawrence (32),0,0
2011-02-01,York University Heights (27),1,0
2021-09-17,York University Heights (27),0,0
2018-03-21,Black Creek (24),1,0
2010-05-18,Mount Olive-Silverstone-Jamestown (2),1,1
2008-05-27,Englemount-Lawrence (32),1,0
2013-02-20,Regent Park (72),0,0
2020-06-11,Mount Olive-Silverstone-Jamestown (2),0,0
2018-09-25,Glenfield-Jane Heights (25),1,0
2008-10-25,Black Creek (24),2,0
2004-07-22,Englemount-Lawrence (32),0,0
2019-12-30,West Humber-Clairville (1),0,0
2018-08-13,Black Creek (24),4,1
2022-09-22,Glenfield-Jane Heights (25),1,0
2013-05-16,Glenfield-Jane Heights (25),0,0
2005-10-28,Regent Park (72),0,0
2017-12-03,West Humber-Clairville (1),3,0
2018-05-05,Yorkdale-Glen Park (31),1,0
2016-06-13,Glenfield-Jane Heights (25),2,0
2006-05-05,Englemount-Lawrence (32),2,0
2009-05-01,Englemount-Lawrence (32),2,0
2019-08-08,York University Heights (27),1,0
2011-04-23,Black Creek (24),1,0
2009-05-13,York University Heights (27),1,0
2005-10-07,Regent Park (72),0,0
2006-11-25,Malvern East (146),1,0
2012-07-23,Glenfield-Jane Heights (25),2,0
2013-10-01,York University Heights (27),2,0
2007-06-17,Malvern East (146),0,0
2017-08-26,Humber Summit (21),1,0
2008-07-13,Black Creek (24),2,0
2009-02-28,Mount Olive-Silverstone-Jamestown (2),0,0
2007-08-20,York University Heights (27),1,0
2015-03-07,Englemount-Lawrence (32),1,0
2012-06-08,Glenfield-Jane Heights (25),2,0
2005-10-26,Englemount-Lawrence (32),0,0
2013-07-25,Glenfield-Jane Heights (25),0,0
2009-07-27,Humber Summit (21),2,0
2019-09-10,Black Creek (24),0,0
2012-09-11,Humber Summit (21),2,0
2017-05-20,Glenfield-Jane Heights (25),1,0
2019-01-29,Glenfield-Jane Heights (25),0,0
2010-11-15,York University Heights (27),1,0
2007-04-18,Black Creek (24),0,1
2015-12-22,Malvern East (146),2,0
2004-08-28,Humber Summit (21),2,0
2015-04-12,West Humber-Clairville (1),1,0
2022-09-05,Glenfield-Jane Heights (25),3,1
2008-09-22,Yorkdale-Glen Park (31),1,0
2009-09-15,Black Creek (24),2,0
2011-06-26,Yorkdale-Glen Park (31),2,0
2022-05-15,Yorkdale-Glen Park (31),0,0
2018-11-05,Malvern East (146),0,0
2008-10-08,Regent Park (72),0,0
2014-11-27,West Humber-Clairville (1),2,0
2020-11-14,Humber Summit (21),1,0
2019-11-08,Englemount-Lawrence (32),0,0
2005-01-12,Glenfield-Jane Heights (25),2,1
2005-07-02,Glenfield-Jane Heights (25),1,0
2019-09-13,Mount Olive-Silverstone-Jamestown (2),1,0
2007-06-21,Glenfield-Jane Heights (25),0,0
2009-09-26,Englemount-Lawrence (32),0,0
2015-01-12,Englemount-Lawrence (32),1,0
2022-02-02,Yorkdale-Glen Park (31),3,0
2016-04-15,Black Creek (24),0,1
2012-10-15,Malvern East (146),1,0
2013-03-24,Malvern East (146),1,0
2007-10-26,Malvern East (146),1,0
2017-01-17,West Humber-Clairville (1),0,0
2018-07-14,West Humber-Clairville (1),2,0
2004-11-06,West Humber-Clairville (1),0,1
2021-05-03,Yorkdale-Glen Park (31),1,0
2007-12-12,Malvern East (146),0,0
2019-01-23,Glenfield-Jane Heights (25),3,0
2009-09-16,Malvern East (146),1,0
2007-01-12,Glenfield-Jane Heights (25),1,1
2004-11-14,Englemount-Lawrence (32),0,0
2022-09-12,Glenfield-Jane Heights (25),1,0
2011-12-03,West Humber-Clairville (1),0,0
2009-02-04,Black Creek (24),0,0
2008-07-23,West Humber-Clairville (1),2,0
2004-04-29,Humber Summit (21),1,0
2011-07-22,Mount Olive-Silverstone-Jamestown (2),3,1
2008-04-05,York University Heights (27),2,0
2022-01-10,Yorkdale-Glen Park (31),2,0
2013-10-10,Humber Summit (21),1,0
2005-08-21,Regent Park (72),0,0
2021-01-06,Humber Summit (21),1,1
2018-11-17,Mount Olive-Silverstone-Jamestown (2),2,0
2022-10-10,York University Heights (27),0,0
2022-09-03,Glenfield-Jane Heights (25),0,0
2021-01-15,Mount Olive-Silverstone-Jamestown (2),1,1
2018-03-02,Humber Summit (21),1,0
2004-05-13,Mount Olive-Silverstone-Jamestown (2),4,0
2016-05-16,York University Heights (27),2,0
2011-09-04,Glenfield-Jane Heights (25),2,0
2020-11-01,Black Creek (24),1,0
2012-10-04,Glenfield-Jane Heights (25),5,1
2006-05-28,Black Creek (24),1,0
2005-10-29,York University Heights (27),3,0
2020-03-16,Yorkdale-Glen Park (31),1,0
2004-02-18,Malvern East (146),2,0
2019-04-27,West Humber-Clairville (1),1,0
2013-01-23,Englemount-Lawrence (32),2,0
2004-07-11,Humber Summit (21),1,0
2011-07-19,Mount Olive-Silverstone-Jamestown (2),0,0
2022-01-28,Englemount-Lawrence (32),0,0
2016-01-16,Glenfield-Jane Heights (25),3,0
2023-04-12,Englemount-Lawrence (32),1,1
2010-02-15,York University Heights (27),1,0
2014-02-12,Black Creek (24),1,0
2004-07-09,Mount Olive-Silverstone-Jamestown (2),3,0
2022-01-15,Mount Olive-Silverstone-Jamestown (2),1,0
2021-02-22,West Humber-Clairville (1),0,0
2014-02-15,Mount Olive-Silverstone-Jamestown (2),1,0
2019-09-25,Englemount-Lawrence (32),1,0
2023-10-14,West Humber-Clairville (1),0,0
2017-06-13,Regent Park (72),1,0
2014-11-18,Humber Summit (21),0,0
2009-10-09,Regent Park (72),3,0
2007-12-16,Englemount-Lawrence (32),0,0
2012-09-14,Black Creek (24),0,0
2007-08-08,Englemount-Lawrence (32),1,0
2007-10-28,Malvern East (146),1,0
2019-06-25,Humber Summit (21),0,0
2009-12-02,Mount Olive-Silverstone-Jamestown (2),0,0
2012-02-25,Regent Park (72),1,0
2019-08-29,Black Creek (24),1,1
2014-03-04,West Humber-Clairville (1),1,0
2017-10-24,Mount Olive-Silverstone-Jamestown (2),1,0
2019-02-23,Yorkdale-Glen Park (31),0,0
2017-02-14,West Humber-Clairville (1),1,0
2023-07-06,Englemount-Lawrence (32),1,0
2020-02-08,York University Heights (27),0,1
2018-07-28,Glenfield-Jane Heights (25),1,1
2006-01-27,Mount Olive-Silverstone-Jamestown (2),2,0
2017-12-06,York University Heights (27),1,0
2013-01-30,West Humber-Clairville (1),1,0
2008-01-03,Yorkdale-Glen Park (31),1,0
2012-03-13,Yorkdale-Glen Park (31),0,0
